,content,rating,label,isen
0, I have been trying to set up my account again after it was randomly blocked for no reason,1,C,TRUE
1," Can't check my balance now, really bad service",1,C,TRUE
2,"withdrawal is nightmare, if you are a profitable trader ",1,D,TRUE
3,5% for this transaction and it is so complicated,1,F,TRUE
4, their choice to go public means they have to continue to make money to appease investors,1,T,TRUE
5,On the trade window inside the binance app ,1,O,TRUE
6, Can't recommend this app if you can't get varified,1,R,TRUE
7, Are you investing in the app and improving it? Doesn't look like it,1,A,TRUE
8, The verification is just another day problem when in need to work with this app,1,R,TRUE
9, Sounds like it time for class action lawsuit,1,T,TRUE
10,"Downloaded the app successfully, but have unable to launch the app, it always say 'COINBASE HAS STOPPED' If there was a zero star, I would have given you guys, because I've not been able to use the app",1,A,TRUE
11,"Fee's are not clear, and funds are in hold, only a small amount that i needed to transfer and has now ruined my night",1,F,TRUE
12,"Always get ""Something went Wrong"" massage for the past 4 weeks",1,A,TRUE
13,Locked out of app as well after switch to FTX,1,A,TRUE
14," When selecting a menu option, you have to wait a few seconds before it reacts",1,A,TRUE
15, 100's of thousands in volume through coinbase,1,O,TRUE
16,"The app just log me out, since then i can't log in again, it keep on telling invalid password",1,R,TRUE
17, You are now required to sign up to another service in order to make a purchase,1,R,TRUE
18,"STOP ASKING US TO UPDATE OUR PASSWORD WHEN IT CAN'T BE DONE, IT'S REALLY PISSING ALL THE USERS OFF",1,O,TRUE
19, There is no way to contact etoro without logging in,1,C,TRUE
20, I broke my phone and kraken support got my account back the next morning,5,C,TRUE
21, Kraken never gave a time on offering of Shib,5,O,TRUE
22, Except instead of rushing in to rescue me they are providing me with the nessacary tools to be capable of saving myself,5,C,TRUE
23,Best exchange i've ever know that provides deep liquidity,5,O,TRUE
24,"Fullfil ur promise, 1 star for hurting community, Edit : thanks",5,T,TRUE
25, used shib to hype kraken then never listed the asset,5,O,TRUE
26, I really suprised with so many options for buying and trading and the transaction speed is amazing,5,D,TRUE
27,Top site made lots of money from this and i am new to trading aswell i would reccomend to any newbies,5,O,TRUE
28,Thank you for listing Shiba Inu and fulfilling your end of the deal,5,O,TRUE
29,binance is very good app that response rapidly to all it escrow,5,A,TRUE
30,"best exchange app, lightweight and user friendly ui, very easy to use for people who are new to crypto world",5,A,TRUE
31,Patiently waiting on shib and its now available 🥳,5,O,TRUE
32,"I gotta say, my podcast I listen to (The Official Podcast) have been talking about this app for a while, and always say how awesome it is",5,A,TRUE
33, Hopefully these issues can be resolved asap,5,O,TRUE
34, Update: they have listed Shib!! Happy for this,5,O,TRUE
35,Very nice crypto exchange platform as compare to Coinbase,5,A,TRUE
